"","Gene","adjpval"
"1","Q13148",3.86245774075036e-13
"2","Q9UKM9",6.96951932810718e-13
"3","P07910",6.96951932810718e-13
"4","Q15717",8.99669687912886e-13
"5","Q96T37",2.11315644553929e-12
"6","Q92879",1.27698288791159e-11
"7","Q96PK6",1.67667668785036e-11
"8","P26368",3.1056044339738e-11
"9","Q9NZI8",3.28320814528016e-11
"10","O43390",3.66653735768285e-11
"11","Q01085",6.87466882700108e-11
"12","P23246",1.30201901298156e-10
"13","P26599",1.30201901298156e-10
"14","Q15233",1.52898584528581e-10
"15","O60506",3.68899685860186e-10
"16","Q9NUD5",3.68899685860186e-10
"17","P52272",4.38011004786196e-10
"18","Q9BQC6",4.62041479087001e-10
"19","Q6ZN17",5.41545925499044e-10
"20","Q7Z2W4",5.41545925499044e-10
"21","P31483",7.4629007393558e-10
"22","O00425",8.66506770706401e-10
"23","Q96I24",1.16128627667411e-09
"24","P14866",1.59361525433956e-09
"25","Q6PKG0",2.16368341253303e-09
"26","P51991",2.66799906088213e-09
"27","P67809",3.43728183182242e-09
"28","P22626",3.43728183182242e-09
"29","Q4G0J3",4.49461169195095e-09
"30","Q9NQ94",4.58658218466997e-09
"31","O76021",4.58658218466997e-09
"32","Q13151",5.05087315668573e-09
"33","P52597",5.24898897958642e-09
"34","Q92945",5.39372538182894e-09
"35","O75534",5.39372538182894e-09
"36","P42704",5.54602362516492e-09
"37","P09651",6.42079601407075e-09
"38","Q8WXF1",7.10525657886429e-09
"39","Q14692",7.61383367682602e-09
"40","P33240",7.61383367682602e-09
"41","P31942",7.61383367682602e-09
"42","Q9BWF3",9.54702118303286e-09
"43","Q8TDD1",1.17432961914804e-08
"44","P46777",1.17827741015628e-08
"45","P05455",1.20468485904707e-08
"46","Q9Y6M1",1.34410444643246e-08
"47","P43243",1.39309991237243e-08
"48","P31943",1.46861718256665e-08
"49","Q9NR30",1.52945995103707e-08
"50","Q14690",1.63579301892126e-08
"51","Q96EP5",1.63579301892126e-08
"52","Q9Y4C8",2.28453730583916e-08
"53","Q9UQ80",2.30886904146552e-08
"54","O14979",2.48103589835596e-08
"55","Q96EY7",2.52691540106907e-08
"56","P50914",2.58762234240494e-08
"57","Q99729",2.8456608376134e-08
"58","Q5JTH9",2.8738083682922e-08
"59","P38159",2.92820157082872e-08
"60","P35637",2.92820157082872e-08
"61","Q12905",3.01021747464186e-08
"62","Q92900",3.01021747464186e-08
"63","P62280",3.01021747464186e-08
"64","Q14103",3.30688181979016e-08
"65","P17844",4.42952622707253e-08
"66","Q9HCE1",5.07023357893786e-08
"67","Q9NUQ6",5.52072545441165e-08
"68","Q96GQ7",5.57647467390601e-08
"69","Q13242",5.93826476782342e-08
"70","Q00839",5.97907628329504e-08
"71","P19338",6.00927789615252e-08
"72","P61978",6.00927789615252e-08
"73","Q13310",6.00927789615252e-08
"74","Q9NZB2",6.17878639773299e-08
"75","Q96E39",6.17878639773299e-08
"76","O00571",6.17878639773299e-08
"77","Q9NY12",6.27365737320142e-08
"78","Q8IX01",6.28894261552492e-08
"79","P15880",6.3226539756459e-08
"80","Q9NW13",6.5958272348129e-08
"81","Q7KZF4",6.98735917466101e-08
"82","P84103",9.09474049408347e-08
"83","Q14671",1.06355778025766e-07
"84","P16989",1.23785902391892e-07
"85","Q12849",1.25497235362733e-07
"86","P62847",1.32788679709712e-07
"87","Q7Z4V0",1.35417223474546e-07
"88","Q9GZT3",1.35417223474546e-07
"89","Q9NW64",1.55005346047941e-07
"90","Q7L2E3",1.80773074882444e-07
"91","Q92841",1.89772967999969e-07
"92","Q12906",1.89772967999969e-07
"93","Q969S3",1.91666468594925e-07
"94","Q15365",1.95315210733048e-07
"95","Q00341",2.00406146587137e-07
"96","Q07002",2.11029438787585e-07
"97","P62917",2.1160622356463e-07
"98","P11940",2.19429972846283e-07
"99","Q1KMD3",2.20712845478323e-07
"100","Q08211",2.38581448621636e-07
"101","P22087",2.7743843301891e-07
"102","Q8IWA0",2.7743843301891e-07
"103","Q99848",3.21791600425209e-07
"104","Q5BKZ1",3.91630959551233e-07
"105","P36578",4.10011181768129e-07
"106","Q8NC51",4.11479850944287e-07
"107","Q9BQG0",4.13455697898211e-07
"108","Q9Y6G3",4.37655574813812e-07
"109","P46087",5.30543865559881e-07
"110","O95793",5.47667492532753e-07
"111","Q9UHX1",6.85505220582117e-07
"112","Q6DKI1",6.85505220582117e-07
"113","Q13895",7.25963791756221e-07
"114","Q14152",7.55870506234814e-07
"115","Q9BZE1",7.91444734383191e-07
"116","P23588",8.04368522890248e-07
"117","Q5T653",8.18528139663426e-07
"118","Q8TDN6",8.18528139663426e-07
"119","Q6P2Q9",8.62556472779338e-07
"120","A8MWD9; P62308",8.65227120960014e-07
"121","Q15366",9.8646174200081e-07
"122","Q9Y3X0",9.9473009539495e-07
"123","Q96AE4",1.08204804875996e-06
"124","P42696",1.18681798447715e-06
"125","Q5T6F2",1.32666292870012e-06
"126","Q8NE71",1.36317556870211e-06
"127","Q9BVP2",1.42595942609473e-06
"128","Q9Y520",1.48546319883602e-06
"129","Q07955",1.50868237121756e-06
"130","Q15269",1.53808660276025e-06
"131","P62899",1.54612082659424e-06
"132","Q07666",1.60480011198582e-06
"133","Q86V81",1.62301595018542e-06
"134","O00411",1.65484408525138e-06
"135","Q8IY67",1.79276102172285e-06
"136","Q14157",1.88962472810078e-06
"137","Q15020",2.00490824530942e-06
"138","Q8IY81",2.06920376413692e-06
"139","P62633",2.33550723251072e-06
"140","Q14444",2.42122558381762e-06
"141","Q9BVJ6",2.42122558381762e-06
"142","P61254",2.96166876530452e-06
"143","O95758",3.24094153591335e-06
"144","Q8TED0",3.26122540392901e-06
"145","P49207",3.39736187830599e-06
"146","P13667",3.84493243069963e-06
"147","O15371",4.61634454332646e-06
"148","Q9BZZ5",4.96023402368366e-06
"149","O75821",4.96023402368366e-06
"150","Q9P0M9",5.09980613955599e-06
"151","Q86TG7",5.89215441638682e-06
"152","P83731",7.42821003803706e-06
"153","P23396",8.07468667766686e-06
"154","Q9BZE4",8.87462456203413e-06
"155","P08621",1.03325547930458e-05
"156","Q9HC35",1.14347461067734e-05
"157","P18124",1.14381395211488e-05
"158","P57723",1.14381395211488e-05
"159","Q8N163",1.22451807741024e-05
"160","P15529",1.22981904581065e-05
"161","Q9NX24",1.2633825808388e-05
"162","Q96KR1",1.33275209478351e-05
"163","P13010",1.4202776491744e-05
"164","P30101",1.48412260499322e-05
"165","Q9H0D6",1.56493381228081e-05
"166","Q96T58",1.784409121272e-05
"167","Q15050",1.8519127332611e-05
"168","O75691",1.98485942171765e-05
"169","P02786",2.02368057981751e-05
"170","P61353",2.04818726823093e-05
"171","Q9BUJ2",2.48117111693754e-05
"172","P78316",2.56144694900905e-05
"173","P39023",2.65616558988548e-05
"174","Q01081",2.66599931343661e-05
"175","P17301",3.23097836028682e-05
"176","Q07065",3.59222760012588e-05
"177","Q9H6T0",3.59222760012588e-05
"178","Q8IWR0",3.59222760012588e-05
"179","O75822",3.93052891598028e-05
"180","Q8WVV9",3.93052891598028e-05
"181","Q01082",3.93052891598028e-05
"182","Q2M296",4.0140683927727e-05
"183","Q96DV4",4.31472466696648e-05
"184","Q00577",4.82183823450199e-05
"185","Q8WWM7",4.98349365107588e-05
"186","Q8WTT2",5.35525608854529e-05
"187","O75153",5.66090794577017e-05
"188","O00299",5.66090794577017e-05
"189","B5ME19; Q99613",5.6897100969291e-05
"190","P82675",5.73902994212466e-05
"191","Q7L0Y3",5.98914784094875e-05
"192","O60832",6.34575163232484e-05
"193","P78527",6.92202184430202e-05
"194","P29317",6.97151017439183e-05
"195","P61247",6.97151017439183e-05
"196","A5YKK6",7.74279189612897e-05
"197","P49591",8.06717165314825e-05
"198","P98179",8.06717165314825e-05
"199","Q92616",8.06717165314825e-05
"200","Q96D46",9.46395742280496e-05
"201","P46782",9.5046426158477e-05
"202","Q5VZF2; Q9NR56",0.00010215652133777
"203","Q9BYD2",0.000110474707044691
"204","O95478",0.000115904333452991
"205","Q969X6",0.000115904333452991
"206","Q92499",0.000137231661532295
"207","Q02543",0.000139174640402895
"208","P15170",0.000145766890164245
"209","P05023",0.000154325484561294
"210","Q14554",0.000162372452709528
"211","P52756",0.000163541882369653
"212","O75179",0.000169100898929353
"213","P46013",0.000173759502938991
"214","P62263",0.000177178885381277
"215","Q9NQ55",0.000184009403611557
"216","P60866",0.000187981848721253
"217","O43823",0.000201344140787766
"218","P14678; P63162",0.00020285095735897
"219","P62081",0.000211069039065037
"220","P27635",0.000213206227063133
"221","O95232",0.000249310069312543
"222","Q16629",0.000258486374738362
"223","Q96AG4",0.00026874723693909
"224","Q12874",0.000272597082783451
"225","Q8N1G4",0.000272597082783451
"226","O15230",0.000273943045605402
"227","Q92615",0.000279747079205808
"228","Q14562",0.000279812599035201
"229","P12956",0.000292461338912972
"230","Q14498",0.000313045578890964
"231","P62318",0.00033654740477564
"232","Q9NUL7",0.000351475957014451
"233","Q92542",0.000354619912207977
"234","Q9NVS2",0.000359871210659085
"235","Q13283",0.000362059853573209
"236","Q15032",0.000368777800196528
"237","Q02878",0.000373300714710176
"238","Q03701",0.000382683191293553
"239","P07237",0.000406522115150806
"240","O75152",0.00040821253077333
"241","O15031",0.000424521014920643
"242","P56182",0.00049091754947121
"243","P82933",0.000518025767259648
"244","Q9NVV4",0.000519676662123733
"245","Q969G9",0.000523918439778364
"246","P61619",0.000523918439778364
"247","P07942",0.000537480246607733
"248","P11047",0.000553379776620594
"249","P01024",0.000594747740391598
"250","Q15084",0.000597284295174678
"251","P30876",0.000608663506844601
"252","Q15397",0.000613084465491568
"253","Q9UNX4",0.000667139403515602
