Uniprot_ID,HuH-7,HepG2/C3A
A0AV96,1,0
A1L020,1,0
A5YKK6,1,1
O00148,1,0
O00264,1,0
O00267,1,1
O00410,1,1
O00411,1,1
O00422,1,0
O00425,1,1
O00541,1,1
O00566,1,0
O00567,1,1
O14647,1,1
O14776,1,0
O14979,1,1
O15116,1,0
O15127,1,0
O15226,1,1
O15234,1,0
O15347,1,0
O15371,1,1
O15372,1,0
O15400,1,0
O15446,1,0
O15504,1,0
O43143,1,1
O43159,1,0
O43251,1,0
O43347,1,0
O43390,1,1
O43395,1,0
O43399,1,0
O43414,1,0
O43432,1,0
O43491,1,0
O43776,1,0
O43809,1,0
O43823,1,1
O43896,1,0
O60287,1,1
O60306,1,0
O60506,1,1
O60739,1,0
O60812,1,0
O60841,1,1
O60869,1,1
O75152,1,1
O75179,1,1
O75223,1,0
O75319,1,0
O75369,1,1
O75390,1,1
O75525,1,0
O75533,1,1
O75534,1,1
O75569,1,0
O75607,1,0
O75616,1,1
O75683,1,1
O75691,1,1
O75821,1,1
O75822,1,1
O75874,1,0
O75940,1,0
O76003,1,0
O76021,1,1
O76094,1,1
O95218,1,1
O95319,1,0
O95429,1,0
O95478,1,1
O95628,1,0
O95639,1,0
O95758,1,1
O95777,1,0
O95793,1,1
O95864,1,0
O95900,1,0
O95985,1,0
P00338,1,0
P02751,1,0
P02771,1,0
P04114,1,0
P04843,1,1
P05023,1,0
P05141,1,0
P05198,1,0
P05388,1,0
P05455,1,1
P06576,1,0
P06730,1,0
P06733,1,1
P06748,1,1
P07237,1,1
P07355,1,0
P07737,1,1
P07900,1,1
P07910,1,1
P08238,1,1
P08240,1,1
P08621,1,1
P09001,1,1
P09012,1,1
P09211,1,0
P09327,1,0
P09429,1,1
P09622,1,0
P09874,1,1
P0CB38,1,0
P10599,1,0
P10620,1,0
P10809,1,1
P11021,1,0
P11142,1,1
P11387,1,1
P11388,1,1
P11498,1,0
P11940,1,1
P12956,1,1
P13010,1,1
P13639,1,1
P13861,1,0
P14618,1,1
P14625,1,1
P14866,1,1
P15559,1,0
P15880,1,1
P16615,1,0
P16989,1,1
P17844,1,1
P17931,1,0
P18124,1,1
P18583,1,1
P18621,1,1
P19338,1,1
P20042,1,1
P20290,1,0
P20618,1,0
P20810,1,0
P21333,1,1
P21399,1,0
P22087,1,1
P22234,1,0
P22626,1,1
P23246,1,1
P23284,1,1
P23396,1,1
P23528,1,0
P23588,1,1
P24928,1,0
P25398,1,1
P25705,1,1
P26196,1,0
P26368,1,1
P26373,1,1
P26583,1,1
P26599,1,1
P27695,1,0
P27797,1,1
P27816,1,1
P27824,1,1
P29558,1,0
P30048,1,0
P30050,1,1
P30086,1,1
P30101,1,1
P30405,1,0
P30419,1,0
P30876,1,1
P31483,1,1
P31942,1,1
P31943,1,1
P33240,1,1
P35241,1,0
P35268,1,1
P35544,1,0
P35579,1,1
P35637,1,1
P35659,1,1
P36578,1,1
P37108,1,1
P37802,1,0
P38159,1,1
P38646,1,1
P38919,1,1
P39019,1,1
P39023,1,1
P39748,1,0
P40227,1,1
P40429,1,1
P40926,1,1
P41214,1,0
P42167,1,0
P42285,1,0
P42677,1,0
P42694,1,0
P42696,1,1
P42704,1,1
P42766,1,1
P43243,1,1
P43307,1,0
P46013,1,1
P46087,1,1
P46109,1,0
P46199,1,0
P46776,1,1
P46777,1,1
P46778,1,1
P46779,1,1
P46781,1,1
P46782,1,1
P46783,1,0
P47914,1,0
P47974,1,0
P48200,1,0
P48634,1,0
P48651,1,0
P49327,1,1
P49368,1,1
P49411,1,1
P49588,1,1
P49591,1,1
P49750,1,0
P49755,1,0
P49756,1,1
P50914,1,1
P50991,1,1
P51114,1,1
P51116,1,0
P51858,1,0
P51991,1,1
P52272,1,1
P52292,1,1
P52597,1,1
P52756,1,1
P53597,1,1
P53999,1,1
P54577,1,1
P55010,1,0
P55060,1,0
P55072,1,1
P55081,1,0
P55209,1,1
P55265,1,0
P55769,1,0
P55795,1,1
P55884,1,1
P56182,1,1
P57721,1,0
P57723,1,1
P60228,1,1
P60468,1,0
P60842,1,1
P60866,1,1
P61247,1,1
P61313,1,1
P61353,1,1
P61513,1,1
P61604,1,1
P61619,1,0
P61956,1,1
P61978,1,1
P62081,1,1
P62241,1,1
P62244,1,1
P62249,1,1
P62258,1,1
P62263,1,1
P62266,1,0
P62277,1,1
P62280,1,1
P62308,1,0
P62310,1,0
P62316,1,0
P62424,1,1
P62495,1,0
P62633,1,1
P62750,1,1
P62753,1,1
P62826,1,1
P62829,1,1
P62841,1,1
P62847,1,1
P62851,1,1
P62854,1,1
P62857,1,1
P62861,1,0
P62888,1,1
P62899,1,1
P62906,1,1
P62910,1,1
P62913,1,1
P62917,1,1
P62937,1,0
P62995,1,1
P63165,1,0
P63244,1,1
P67809,1,1
P68036,1,0
P68104,1,0
P78316,1,1
P78332,1,1
P78344,1,1
P78527,1,1
P82664,1,0
P82673,1,0
P82675,1,1
P82912,1,0
P82933,1,1
P82979,1,0
P83731,1,1
P84098,1,1
P84103,1,1
P98175,1,1
P98179,1,1
P99999,1,0
Q00341,1,1
Q00577,1,1
Q00610,1,1
Q00688,1,0
Q00839,1,1
Q01081,1,1
Q01082,1,1
Q01085,1,1
