Gene,
5MP2,Q7L1Q6
A1CF,Q9NQ94
CCDC9,Q9Y3X0
CLIC1,O00299
EFGM,Q96RP9
EFTS,P43897
EIF3C,Q99613
EIFCL,B5ME19
ENPL,P14625
ESRP2,Q9H6T0
FAKD5,Q7L8L6
GAR1,Q9NY12
GOLI4,O00461
HABP4,Q5JVS0
IF2B1,Q9NZI8
IF2B3,O00425
K1C18,P05783
KTN1,Q86UP2
LN28B,Q6ZN17
MATR3,P43243
MBNL1,Q9NR56
MBNL2,Q5VZF2
MBNL3,Q9NUK0
MTHSD,Q2M296
NOL11,Q9H8H0
PCBP4,P57723
PEG10,Q86TG7
PNISR,Q8TF01
PUS1,Q9Y606
RBM5,P52756
RM18,Q9H0U6
RM20,Q9BYC9
RM27,Q9P0M9
RM44,Q9H9J2
RSMB,P14678
RT18A,Q9NVS2
RT24,Q96EL2
RUXG,P62308
RUXGL,A8MWD9
SBDS,Q9Y3A5
SF3A3,Q12874
SF3B6,Q9Y3B4
SMD3,P62318
SPTB2,Q01082
SSBP,Q04837
SUCA,P53597
SURF6,O75683
TFR1,P02786
UTP4,Q969X6
