Uniprot_ID,HEK293,MCF10A,U2OS,HepG2 C3A
A5YKK6,1,1,1,1
O00178,0,1,0,0
O00267,1,1,1,0
O00410,1,1,1,0
O00411,1,0,1,1
O00541,1,1,1,0
O00566,1,1,1,0
O00567,1,1,1,1
O00571,1,1,1,1
O14647,1,1,0,0
O14776,1,1,1,0
O14979,1,1,1,1
O14980,1,1,1,0
O15042,1,1,1,0
O15047,1,0,0,0
O15213,1,1,1,0
O15226,1,0,1,1
O15234,1,1,1,0
O15347,1,0,0,0
O15371,1,1,1,1
O15372,0,1,1,0
O15381,1,0,0,0
O15446,0,1,0,0
O43143,1,1,1,1
O43159,1,1,1,0
O43172,1,0,0,0
O43290,1,1,1,0
O43379,1,0,1,0
O43390,1,1,1,1
O43395,1,0,0,0
O43432,1,1,0,0
O43583,1,1,0,0
O43592,1,1,1,0
O43670,1,1,0,0
O43707,1,1,1,0
O43719,1,1,1,0
O43823,1,1,1,1
O43896,0,1,0,0
O60231,1,0,1,0
O60287,1,0,1,1
O60293,1,0,0,0
O60306,1,0,1,0
O60506,1,1,1,1
O60610,1,1,1,0
O60763,1,1,1,0
O60832,1,1,1,1
O60841,1,1,1,0
O60869,1,1,1,1
O75116,1,1,1,0
O75131,1,0,0,0
O75150,1,0,0,0
O75152,1,1,1,1
O75153,1,1,1,1
O75179,1,1,1,1
O75319,1,0,1,0
O75369,1,1,1,0
O75390,1,1,1,0
O75400,1,1,1,1
O75475,1,1,1,0
O75494,1,1,1,0
O75533,1,1,1,1
O75534,1,1,1,1
O75569,0,1,0,0
O75607,0,1,0,0
O75616,1,0,0,1
O75643,1,1,1,0
O75691,1,1,1,1
O75717,1,0,0,0
O75821,1,1,1,1
O75822,1,1,1,1
O75940,1,1,0,0
O76003,1,1,1,0
O76021,1,1,1,1
O76094,1,1,1,1
O94906,1,0,1,0
O94913,1,1,0,0
O94992,1,1,1,0
O95071,1,1,1,0
O95104,1,1,0,0
O95218,1,1,1,0
O95232,1,1,1,1
O95478,1,1,0,1
O95758,1,1,1,1
O95793,1,1,1,1
P00505,1,1,0,0
P00966,0,1,0,0
P04080,0,1,0,0
P04083,0,1,1,0
P04150,0,1,0,0
P04792,0,1,1,0
P04818,0,0,1,0
P05198,1,1,1,0
P05388,1,1,1,0
P05455,1,1,1,1
P06733,1,1,1,0
P06748,1,1,1,1
P07237,1,1,1,1
P07355,0,1,1,0
P07737,0,1,0,0
P07814,1,1,1,1
P07900,1,1,1,0
P07910,1,1,1,1
P08621,1,1,1,1
P08708,1,1,1,0
P08865,1,1,1,0
P09001,1,0,0,0
P09012,1,0,0,0
P09132,0,1,0,0
P09382,0,1,1,0
P09429,1,1,1,0
P09651,1,1,1,1
P09874,1,1,1,1
P09960,1,1,1,0
P10155,1,1,0,0
P10412,1,0,1,0
P10809,1,1,1,0
P11142,1,1,1,0
P11387,1,1,1,1
P11388,1,0,1,0
P11940,1,1,1,1
P12268,1,1,1,0
P12270,1,1,1,0
P12814,1,1,1,0
P12956,1,1,1,1
P13010,1,1,1,1
P13639,1,1,1,1
P13667,1,1,1,1
P13693,0,1,1,0
P13798,1,1,1,0
P14324,0,1,0,0
P14618,1,1,1,0
P14866,1,1,1,1
P14868,1,1,1,0
P15170,1,0,1,1
P15311,1,1,1,0
P15531,0,1,0,0
P15880,1,1,1,1
P15924,1,1,0,0
P16403,1,0,1,0
P16989,1,1,1,1
P17480,1,1,1,1
P17844,1,1,1,1
P17931,0,1,0,0
P17987,1,1,1,0
P18124,1,1,1,1
P18583,1,1,1,0
P18615,1,0,0,0
P18621,1,1,1,1
P19338,1,1,1,1
P19525,1,1,0,0
P20042,1,1,0,1
P20290,1,1,1,0
P20810,0,1,0,0
P21127,1,0,0,0
P21291,0,1,1,0
P21333,1,1,1,0
P21399,0,0,1,0
P22087,1,1,1,1
P22314,1,1,1,0
P22626,1,1,1,1
P23246,1,1,1,1
P23396,1,1,1,1
P23588,1,1,1,1
P24534,0,1,0,0
P24928,1,1,1,0
P25398,1,1,1,0
P26038,1,1,1,0
P26196,1,1,1,0
P26358,1,1,1,0
P26368,1,1,1,1
P26373,1,1,1,1
P26583,1,1,1,0
P26599,1,1,1,1
P26639,1,1,1,0
P26641,1,1,1,0
P27635,1,1,1,1
P27695,1,1,1,0
P27816,1,1,1,1
P27824,1,1,1,0
P29558,1,1,1,0
P29692,1,1,1,0
P30050,1,1,1,0
P30086,1,1,1,1
P30101,1,1,1,1
P30876,1,1,1,1
P31483,1,1,1,1
P31942,1,1,1,1
P31943,1,1,1,1
P31948,1,1,1,0
P33240,1,1,1,1
P33316,1,0,0,0
P35221,1,1,1,0
P35241,1,0,1,0
P35268,1,1,1,1
P35269,1,1,0,0
P35579,1,1,1,0
P35580,1,1,1,0
P35611,1,0,0,0
P35637,1,1,1,1
P35659,1,1,1,0
P36578,1,1,1,1
P36776,1,0,1,1
P36873,1,1,0,0
P38159,1,1,1,1
P38646,1,1,1,1
P38919,1,1,1,0
P39019,1,1,1,1
P39023,1,1,1,1
P39687,1,1,1,0
P40227,1,1,1,0
P40429,1,1,1,1
P41091,1,1,0,0
P41214,1,1,1,0
P41252,1,1,1,0
P42285,1,1,1,0
P42694,1,0,1,0
P42696,1,1,1,1
P42704,1,1,1,1
P42765,0,1,0,0
P42766,1,1,1,1
P46013,1,1,1,1
P46060,1,1,1,0
P46087,1,1,1,1
P46109,1,1,1,0
P46776,1,1,1,1
P46777,1,1,1,1
P46778,1,1,1,0
P46779,1,0,1,0
P46781,1,1,1,1
P46782,1,1,1,1
P46783,1,1,1,0
P47813,1,0,0,0
P47914,1,1,1,0
P48444,1,1,1,0
P48634,1,1,1,0
P48643,1,1,1,0
P49207,1,1,1,1
