"","deqms_results.sca.adj.pval","p.gene"
"1",3.86245774075036e-13,"Q13148"
"2",6.96951932810718e-13,"Q9UKM9"
"3",6.96951932810718e-13,"P07910"
"4",8.99669687912886e-13,"Q15717"
"5",2.11315644553929e-12,"Q96T37"
"6",1.27698288791159e-11,"Q92879"
"7",1.67667668785036e-11,"Q96PK6"
"8",3.1056044339738e-11,"P26368"
"9",3.28320814528016e-11,"Q9NZI8"
"10",3.66653735768285e-11,"O43390"
"11",6.87466882700108e-11,"Q01085"
"12",1.30201901298156e-10,"P23246"
"13",1.30201901298156e-10,"P26599"
"14",1.52898584528581e-10,"Q15233"
"15",3.68899685860186e-10,"O60506"
"16",3.68899685860186e-10,"Q9NUD5"
"17",4.38011004786196e-10,"P52272"
"18",4.62041479087001e-10,"Q9BQC6"
"19",5.41545925499044e-10,"Q6ZN17"
"20",5.41545925499044e-10,"Q7Z2W4"
"21",7.4629007393558e-10,"P31483"
"22",8.66506770706401e-10,"O00425"
"23",1.16128627667411e-09,"Q96I24"
"24",1.59361525433956e-09,"P14866"
"25",2.16368341253303e-09,"Q6PKG0"
"26",2.66799906088213e-09,"P51991"
"27",3.43728183182242e-09,"P67809"
"28",3.43728183182242e-09,"P22626"
"29",4.49461169195095e-09,"Q4G0J3"
"30",4.58658218466997e-09,"Q9NQ94"
"31",4.58658218466997e-09,"O76021"
"32",5.05087315668573e-09,"Q13151"
"33",5.24898897958642e-09,"P52597"
"34",5.39372538182894e-09,"Q92945"
"35",5.39372538182894e-09,"O75534"
"36",5.54602362516492e-09,"P42704"
"37",6.42079601407075e-09,"P09651"
"38",7.10525657886429e-09,"Q8WXF1"
"39",7.61383367682602e-09,"Q14692"
"40",7.61383367682602e-09,"P33240"
"41",7.61383367682602e-09,"P31942"
"42",9.54702118303286e-09,"Q9BWF3"
"43",1.17432961914804e-08,"Q8TDD1"
"44",1.17827741015628e-08,"P46777"
"45",1.20468485904707e-08,"P05455"
"46",1.34410444643246e-08,"Q9Y6M1"
"47",1.39309991237243e-08,"P43243"
"48",1.46861718256665e-08,"P31943"
"49",1.52945995103707e-08,"Q9NR30"
"50",1.63579301892126e-08,"Q14690"
"51",1.63579301892126e-08,"Q96EP5"
"52",2.28453730583916e-08,"Q9Y4C8"
